Time,speed,steering_angle,wheel_speed_front_left,wheel_speed_front_right,wheel_speed_rear_left,wheel_speed_rear_right,radar_forward_distance,radar_left_distance,radar_relative_speed,radar_address,radar_new_track,raw_can_src,raw_can_address,accelerometer_forward,accelerometer_right,accelerometer_down,gory_forward,gory_right,gory_down,gyro_bias_forward,gyro_bias_right,gyro_bias_down,gyro_uncalibrated_forward,gyro_uncalibrated_right,gyro_uncalibrated_down,live_gnss_qcom_latitude,live_gnss_qcom_longitude,live_gnss_qcom_speed,live_gnss_qcom_utc_timestamp,live_gnss_qcom_altitude,live_gnss_qcom_bearing,live_gnss_ublox_latitude,live_gnss_ublox_longitude,live_gnss_ublox_speed,live_gnss_ublox_utc_timestamp,live_gnss_ublox_altitude,live_gnss_ublox_bearing,raw_gnss_qcom_prn,raw_gnss_qcom_week_of_gps_time_of_reception,raw_gnss_qcom_time_pf_week_of_gps_time_of_reception,raw_gnss_qcom_pseudorange,raw_gnss_qcom_pseudorange_std,raw_gnss_qcom_pseudorange_rate,raw_gnss_qcom_pseudorange_rate_std,raw_gnss_ublox_prn,raw_gnss_ublox_week_of_gps_time_of_reception,raw_gnss_ublox_time_pf_week_of_gps_time_of_reception,raw_gnss_ublox_pseudorange,raw_gnss_ublox_pseudorange_std,raw_gnss_ublox_pseudorange_rate,raw_gnss_ublox_pseudorange_rate_std,route_id,VIN,Country,Vehicle_Make,Vehicle_Model,Autonomy_Level,accident_category
0,87.06406570512196,-21.36216737557398,84.87899838985551,15.654744897299155,2.038458188651504,6.149097286891458,66.83803177932364,8.985398492730198,16.592406061198155,245,1,4.741202989628935,225,-0.2874517208109886,-7.344600535349244,5.317632340376834,-0.31577120941931724,-1.7091861117796157,-2.6589749764195014,-0.09655146936054892,-0.08188064169806926,0.03328483895361689,-0.037203714266301424,-0.04175163572353194,-0.018880755776687866,-1.6880561078643552,-11.163931284695764,14.246904656354825,782793404612.7455,666.785338770896,225.71238549501618,-20.37991405251161,115.72741180153241,1.305685099165954,284775978954.5126,60.072596791068136,285.69560756732454,37,1148,126,85.33275811819973,3.873204863167482,1.2254136822294304,6.686499856270416,24,1602,55,107.5968353293179,0.15589868725780054,4.647324082252721,4.044875826475631,65,1HGCM82633A337392,Singapore,Cruise,Bolt,Level 5,1
1,87.06406570512196,-21.36216737557398,84.87899838985551,15.654744897299155,2.038458188651504,6.149097286891458,66.83803177932364,8.985398492730198,16.592406061198155,245,1,4.741202989628935,225,-0.2874517208109886,-7.344600535349244,5.317632340376834,-0.31577120941931724,-1.7091861117796157,-2.6589749764195014,-0.09655146936054892,-0.08188064169806926,0.03328483895361689,-0.037203714266301424,-0.04175163572353194,-0.018880755776687866,-1.6880561078643552,-11.163931284695764,14.246904656354825,782793404612.7455,666.785338770896,225.71238549501618,-20.37991405251161,115.72741180153241,1.305685099165954,284775978954.5126,60.072596791068136,285.69560756732454,37,1148,126,85.33275811819973,3.873204863167482,1.2254136822294304,6.686499856270416,24,1602,55,107.5968353293179,0.15589868725780054,4.647324082252721,4.044875826475631,65,1HGCM82633A337392,Singapore,Cruise,Bolt,Level 5,1
2,87.06406570512196,-21.36216737557398,84.87899838985551,15.654744897299155,2.038458188651504,6.149097286891458,66.83803177932364,8.985398492730198,16.592406061198155,245,1,4.741202989628935,225,-0.2874517208109886,-7.344600535349244,5.317632340376834,-0.31577120941931724,-1.7091861117796157,-2.6589749764195014,-0.09655146936054892,-0.08188064169806926,0.03328483895361689,-0.037203714266301424,-0.04175163572353194,-0.018880755776687866,-1.6880561078643552,-11.163931284695764,14.246904656354825,782793404612.7455,666.785338770896,225.71238549501618,-20.37991405251161,115.72741180153241,1.305685099165954,284775978954.5126,60.072596791068136,285.69560756732454,37,1148,126,85.33275811819973,3.873204863167482,1.2254136822294304,6.686499856270416,24,1602,55,107.5968353293179,0.15589868725780054,4.647324082252721,4.044875826475631,65,1HGCM82633A337392,Singapore,Cruise,Bolt,Level 5,1
3,96.14321680725139,-22.212319264428615,31.675207959443274,79.73179040086468,25.608147711457352,56.2281288205024,129.95787141110355,32.91219129529959,-16.30451230731255,886,1,-8.087673220735521,132,-8.111383342827406,9.874035896545113,-8.818032726575415,-9.885951322901418,-0.2537911460420972,6.42246036809896,-0.06955294039124907,-0.06966584260563274,-0.007697956911989004,-0.024310213211384518,0.08150582843724424,0.037091974154156604,-86.5715585395319,126.23518080805303,39.14139160230052,7758720581.951502,237.4434163843323,144.59526553359203,2.046457980784055,89.13201141123409,2.4604415916257674,206499003121.17807,602.3978352388517,101.06905743820904,4,1695,434,198.24413191345127,4.2368519518108325,1.3021624871199877,2.603129965100556,30,17,1596,173.43605272446553,8.627412371538584,7.115619632786442,5.390422701044544,13,1HGCM82633A337392,Singapore,Cruise,Bolt,Level 5,0
4,82.12135242183778,-20.34788613261689,57.490173651112684,17.95205456481468,16.635196671477104,27.18448720204918,127.07688771364522,-0.17171634890023313,11.202849851067448,450,0,-8.459977387091545,3,9.617109101872238,-5.097003063037966,8.023580928828839,5.46277665125791,-4.894477108799018,9.308296558283942,-0.09093033816527006,0.05608253755328596,0.0878321659156284,0.08858801138623915,-0.03878331432146438,-0.00020076953925360352,-28.486255663935687,-128.72053992428204,20.591663416989327,296759186367.74536,529.6432243697902,81.70993328021119,-69.73661075883403,160.38949368247137,47.534981737103564,48936616120.82121,790.489757110173,261.0060676302383,6,370,881,85.23187083636317,7.364816125431383,1.6573488370747291,3.1398485025459633,3,1977,1682,119.5941174436613,7.922024584718565,2.3790184109042514,7.917857625616871,75,1HGCM82633A337392,Singapore,Cruise,Bolt,Level 5,0
5,74.08389323961892,27.754618688769753,64.8069100518983,94.34443242685829,60.687646064266964,1.1982823626373706,123.88344934375061,-33.115867119821544,20.08495581526374,365,0,1.736282751494958,589,3.275045201345044,6.464126179911286,-9.283112246891523,-9.199925291962685,0.1161742962860206,8.836017483725112,-0.042675167911849825,0.058321629031541256,-0.049089874341078144,0.038433318898386,-0.009142969849492116,0.004791769958331332,-56.46961287516114,164.80232087064115,13.823359664864022,71460810577.69989,454.95517895709384,285.25023782559674,-44.51514670566132,51.39588969793107,32.66470738001888,937640916601.9141,384.2806969531708,198.07559278293945,12,233,483,172.74785987988625,4.25559341127899,8.158761304018386,7.269622530307338,23,746,1854,44.773794672139374,6.650665492096267,7.202203477867989,9.121477718929654,22,1HGCM82633A337392,Singapore,Cruise,Bolt,Level 5,0
6,19.63768787806941,34.958756136004595,14.315436944234406,35.52076617378644,46.376258161711995,97.02036937260723,183.474653405012,-14.892200714459406,18.303049655409453,396,1,7.94345959484216,259,8.442980404798412,-0.574173012394688,5.638808668060451,8.48450332212948,7.638924746973618,-8.257865030219818,-0.0814807525886132,0.01314157242433682,-0.026991314872989697,-0.0556728742092639,0.016902624867805985,-0.05998446041106203,23.06045981698172,162.4564854909574,10.619155825553994,706540199545.5801,431.63837411216775,46.26692983839574,-34.924350195040184,110.37605652546137,31.752485521362235,809198185667.7095,661.6832060257884,322.977429307688,24,1991,692,42.74906059491486,3.1263994608669563,1.0472421638957186,2.791475548044758,40,2000,1158,71.41502060933884,5.867489553939238,0.7437816245266937,1.3520062396402477,44,1HGCM82633A337392,Singapore,Cruise,Bolt,Level 5,0
7,94.1906162545535,-36.15628910336869,82.60909009652873,26.002950645509003,80.5892910878326,5.078592360569956,72.13088905379796,38.799203118479284,-0.8045159775511053,316,0,7.896301400320951,289,1.6413175096541082,9.961450314423882,8.457133301086905,2.0313323258616087,4.784396343347714,3.7961829857293576,-0.008891967678454876,0.05563337706795171,-0.09733455222601027,-0.09209292516012127,-0.08024658740407192,0.04569232428684192,-51.12455394118002,168.5565034377982,28.368493456359662,527248726328.15826,454.1581902299909,219.12315155191104,83.77165997895531,34.840101262326556,22.670571157430164,89109559112.78648,867.2757346940265,155.31292194409914,5,1755,732,98.0496217362979,5.3827674610643665,1.74952552625107,0.4811532635565008,41,453,260,85.3671560899933,8.240562666502738,2.928354564811746,6.213290304972467,4,1HGCM82633A337392,Singapore,Cruise,Bolt,Level 5,0
8,81.77006936859198,-10.983301659478954,66.39410749462482,76.81772198809584,77.63550921861487,79.63788506665462,64.99037381692057,-38.188913454199856,-19.20318879327109,55,0,-6.536652502730387,636,-1.664254541735012,5.587880222137381,-2.725817567215425,-7.290182237284166,-1.367258343355168,-5.287800736642745,0.07495996949816716,-0.08416182795249082,-0.09374259039376086,-0.06482845695781864,0.08228591001092794,-0.04333894288871898,49.82633915976248,-54.655320395290005,33.99832130839727,282507619863.13684,580.9181106626091,351.46558131631735,2.169922339607325,-44.87679398019017,14.908249626294612,554077130732.0728,43.78894567710023,277.3195860244375,34,966,692,159.26327621074415,9.354245282546422,0.3357513743236529,7.1447399282052535,23,1821,1654,156.49828610274747,5.68739572460631,1.225493965030925,6.299113633232003,70,1HGCM82633A337392,Singapore,Cruise,Bolt,Level 5,0
9,34.383542424494706,3.8488010187283734,36.52348340243169,93.16185457430812,7.370939694094791,63.628436358804095,154.44735383023527,-26.402249527746246,-25.644128992415993,302,1,-0.44506806078633154,848,-0.6151166137971114,1.2907664412252178,0.06579165106347595,-8.35119374505124,-7.40675147593056,-0.5158336758711801,0.07010634121522616,0.07229371948119101,0.0015806709425434107,0.05698032904439196,-0.0724202443040159,-0.037660422451693126,86.69221094885566,105.81859520857807,45.2728142764665,496749447340.39746,491.4701345312761,214.98122983926532,-71.32637140127038,27.453523508627967,13.606559230017407,470839832118.45703,985.2452195213456,43.03562641632373,0,1744,1385,122.24279481731972,3.786780594971968,9.554987298778618,4.388653025146331,47,1575,86,55.403875778182645,7.62320678199699,0.21171616064605714,4.112744906875998,28,1HGCM82633A337392,Singapore,Cruise,Bolt,Level 5,0
