Time,speed,steering_angle,wheel_speed_front_left,wheel_speed_front_right,wheel_speed_rear_left,wheel_speed_rear_right,radar_forward_distance,radar_left_distance,radar_relative_speed,radar_address,radar_new_track,raw_can_src,raw_can_address,accelerometer_forward,accelerometer_right,accelerometer_down,gory_forward,gory_right,gory_down,gyro_bias_forward,gyro_bias_right,gyro_bias_down,gyro_uncalibrated_forward,gyro_uncalibrated_right,gyro_uncalibrated_down,live_gnss_qcom_latitude,live_gnss_qcom_longitude,live_gnss_qcom_speed,live_gnss_qcom_utc_timestamp,live_gnss_qcom_altitude,live_gnss_qcom_bearing,live_gnss_ublox_latitude,live_gnss_ublox_longitude,live_gnss_ublox_speed,live_gnss_ublox_utc_timestamp,live_gnss_ublox_altitude,live_gnss_ublox_bearing,raw_gnss_qcom_prn,raw_gnss_qcom_week_of_gps_time_of_reception,raw_gnss_qcom_time_pf_week_of_gps_time_of_reception,raw_gnss_qcom_pseudorange,raw_gnss_qcom_pseudorange_std,raw_gnss_qcom_pseudorange_rate,raw_gnss_qcom_pseudorange_rate_std,raw_gnss_ublox_prn,raw_gnss_ublox_week_of_gps_time_of_reception,raw_gnss_ublox_time_pf_week_of_gps_time_of_reception,raw_gnss_ublox_pseudorange,raw_gnss_ublox_pseudorange_std,raw_gnss_ublox_pseudorange_rate,raw_gnss_ublox_pseudorange_rate_std,route_id,VIN,accident_category,manufacturer,model
0,12.87974766452804,20.20073836963938,60.81319651404772,52.2494057271952,81.39632889576072,22.13516163233912,195.8571391649762,-47.18721210271865,22.03971816651444,253,0,0.2169762425825183,822,7.933700845250897,-3.9328122801033913,-1.381001245358526,0.3513949445382192,3.155400937645709,-7.114033897892265,0.0231658108271001,-0.0784473636150618,-0.0662604963997866,-0.0241160346465463,0.091834381040803,0.0205812573932703,-85.71803075192267,-78.01450859782463,49.11305393058584,278394911061.9767,12.772907689134527,279.45141749702657,-59.20135703654897,142.4877608322334,11.528036024763471,99366416207.096,286.97586310290933,85.7246815702429,5,765,1477,151.65681598179373,8.945637621057013,3.302340101590054,5.0458475969198,45,570,960,7.049637852039936,8.481620059073144,4.594711982508266,0.9820312560386424,11,VIN_0,1,Tesla,Model S
1,12.87974766452804,20.20073836963938,60.81319651404772,52.2494057271952,81.39632889576072,22.13516163233912,195.8571391649762,-47.18721210271865,22.03971816651444,253,0,0.2169762425825183,822,7.933700845250897,-3.9328122801033913,-1.381001245358526,0.3513949445382192,3.155400937645709,-7.114033897892265,0.0231658108271001,-0.0784473636150618,-0.0662604963997866,-0.0241160346465463,0.091834381040803,0.0205812573932703,-85.71803075192267,-78.01450859782463,49.11305393058584,278394911061.9767,12.772907689134527,279.45141749702657,-59.20135703654897,142.4877608322334,11.528036024763471,99366416207.096,286.97586310290933,85.7246815702429,5,765,1477,151.65681598179373,8.945637621057013,3.302340101590054,5.0458475969198,45,570,960,7.049637852039936,8.481620059073144,4.594711982508266,0.9820312560386424,11,VIN_0,1,Tesla,Model S
2,12.87974766452804,20.20073836963938,60.81319651404772,52.2494057271952,81.39632889576072,22.13516163233912,195.8571391649762,-47.18721210271865,22.03971816651444,253,0,0.2169762425825183,822,7.933700845250897,-3.9328122801033913,-1.381001245358526,0.3513949445382192,3.155400937645709,-7.114033897892265,0.0231658108271001,-0.0784473636150618,-0.0662604963997866,-0.0241160346465463,0.091834381040803,0.0205812573932703,-85.71803075192267,-78.01450859782463,49.11305393058584,278394911061.9767,12.772907689134527,279.45141749702657,-59.20135703654897,142.4877608322334,11.528036024763471,99366416207.096,286.97586310290933,85.7246815702429,5,765,1477,151.65681598179373,8.945637621057013,3.302340101590054,5.0458475969198,45,570,960,7.049637852039936,8.481620059073144,4.594711982508266,0.9820312560386424,11,VIN_0,1,Tesla,Model S
3,8.838218238959472,-37.731220931317125,36.65100063891325,45.04266157095375,67.93625297692073,4.818443546232764,103.97027891347406,40.36088661771512,-27.974648621010733,575,0,4.54589037464322,160,6.2462017903055305,-1.9653885850404291,-7.044569836272798,8.93670596591619,5.1835415161983605,4.531908099418864,-0.0055156549300765,-0.0095401338599372,0.0019500487242691,0.0428121165697193,-0.0952940506322341,0.0526083324038033,14.38572198919296,-10.402927407950784,4.744124059915173,501524551900.3408,558.7872944380706,179.29017632804332,-20.352883938449537,-75.48454221689205,23.272970003699783,888262147139.7678,676.7785573625765,82.47495430521762,43,1559,1758,111.93665048428312,4.89693974920694,8.432884978632982,5.401151068894111,4,246,996,70.09332180437424,5.781062082362455,9.246087804427972,9.381192262714729,31,VIN_0,0,Tesla,Model S
4,85.92712087296826,8.548368063735573,68.179953186995,85.63464729512329,70.97859053605497,84.46153582945682,112.30113651239108,-44.37860144382182,-24.720220545025043,154,0,8.067341961143569,343,9.766722748269498,-7.580384910243652,-2.076269692382313,-1.570059931325499,-3.84935798791358,-5.357095574292594,-0.0718363054080168,-0.002296900160658,0.09839858049219,0.0279029948792353,0.0447027511886941,-0.093495110399438,-80.81161641016628,36.72627876153592,0.1683629652412699,870171858807.4213,385.8155464121784,348.23198255890566,-50.07399726280848,-115.49047029036416,17.8634120859878,536316805820.5886,701.3678094150126,143.7614966555599,8,630,1825,104.83631986228914,4.763619271919018,3.065845929135247,8.875905808906683,3,1068,1211,183.9425159025802,3.2591133062106903,9.132931485536329,5.238893591446913,48,VIN_0,0,Tesla,Model S
5,93.42679756620689,0.7653648495370504,48.97254467739878,74.22380219473084,62.514920383798426,70.54882316565153,115.9732173861426,-28.187629742803367,-15.981405821603987,880,0,6.801437912375121,197,-3.68656248302411,-1.847639427044264,6.027971224682489,1.1275001844279195,8.867776982375997,-1.2250856950741884,0.0220303435492561,-0.0749507580496795,-0.0728077104137295,0.0156201444805142,0.0938130122156017,0.0649858131233259,64.93718724622005,-87.21067548244596,16.937085125979173,45917518831.46957,774.8790418013187,132.7844443598219,-59.76403969486336,37.2549273907953,16.0751143832981,754053528428.04,985.4138542944908,160.3940754241639,13,1845,1695,50.14570585874274,9.944999233083491,0.06638625487141,6.032384449245612,29,683,854,5.450270099397092,0.2502163056541129,3.193634081404624,2.012318127133041,37,VIN_0,0,Tesla,Model S
6,82.38035297708868,-31.702565356466305,19.2817238822347,12.02179396346299,0.0781740107968276,38.47005710332208,128.89370689675255,-32.61319474677351,7.536232488452185,862,1,6.409554873934219,771,-2.768303266941268,1.992197797253336,-4.647776354546298,-0.911758386526282,-4.736301865931612,-9.130850012197463,0.0128195450819096,-0.00277968730355,-0.0831199760195206,0.0875814631573614,0.0707869616227368,-0.0343496370075677,-1.414641017643376,-133.23857062496532,11.57986083159767,348886975199.51373,145.49773886176044,15.962930506897868,-15.606639037348955,-108.27579955098764,42.6615217082776,650082564710.0326,59.74564848124253,68.71866875556839,22,377,1965,163.0401070016045,8.060755616160604,2.764613386714497,6.712353306570334,37,1479,1997,106.55248533060876,2.099409931813815,8.506894411190073,0.9448209504109362,77,VIN_0,0,Tesla,Model S
7,3.647953171724616,14.924058924983498,96.20645287718274,87.49526768069076,62.35170368465533,69.16018082324916,57.00418301536509,12.446659065785596,8.307866650105659,448,0,-1.773541273034681,307,4.376333676300337,1.3856809235540162,-9.283425156993424,-7.250589055988854,-9.636800815563571,-8.15295120632859,-0.0114386183578806,0.088800671243932,-0.0395032266703949,0.0200552611185387,-0.0729517927941741,0.0381953408235396,-74.64980548172696,48.01506649191842,11.675586538018932,349290698066.7806,530.4732171166693,103.79361076541387,-26.931779386566177,-115.31252468026088,22.89125738252948,819822802870.775,873.5283448473793,100.65531905123618,49,669,1075,163.68303314401743,5.175829296435698,2.131602522086996,1.830109694409513,21,1002,272,128.55697049415437,7.508546003283517,5.440123662266049,0.6189172336821669,10,VIN_0,0,Tesla,Model S
8,56.98112283691638,-7.693349789883335,50.10844930183184,64.06768303105636,1.2580297634802615,18.33296269721787,132.80483362533454,-15.252048166564729,9.530378129048806,192,0,-3.403984598527856,695,8.91726163405415,7.696850561617076,0.1640820857155827,-3.8284577977574985,4.012842517893841,-0.9954782674597632,0.022679673122939,-0.0657361985749935,0.0207169890634331,-0.0535446328739524,0.0591891270801639,-0.0761699852858055,11.630904900975864,-25.058033647839608,7.289586904407852,250354737446.85977,895.2925158017462,149.3146965103152,55.43439564050806,-122.44796551492186,11.97623519551916,329523057938.69385,64.96234956630775,48.30775297339404,32,1840,1623,110.77771353822044,3.479007002271389,7.1278246196666775,4.508481082624006,33,1920,1580,100.0426557954354,2.6769765147958235,2.9943187908744484,8.29964390153616,14,VIN_0,0,Tesla,Model S
9,59.54573524649118,-2.4721823258185225,10.425928104662107,49.67497401189768,48.53503338322793,28.62647243476505,7.070782459845737,-48.12757295655635,26.662516136886502,652,0,9.099547715823206,100,0.3870809779015722,-7.430239141848491,7.310274189819463,-4.057811940586211,5.657318544851375,8.565270571088519,0.0670316289008374,0.0909210994361941,0.0262724716984384,0.0296281262774374,0.0773725780176696,0.017257414047587,13.601051452526091,-26.8570427721412,23.14870681095776,6814895113.12576,935.9799084489337,101.63235820296036,-85.29558503650817,7.579348176426976,13.868186932751849,813976042240.6979,11.176895667791232,157.27246443455292,11,941,1782,146.16426983816066,1.794005511322012,2.488085233314816,8.170903507461846,9,48,522,73.61070682390516,0.692176567872278,3.743766860524753,7.941827328517456,87,VIN_0,0,Tesla,Model S
